pdf_url,year,journal,Answer,id,page
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2967416_wo_cover_page-1.pdf',1940,RES,1.0,2967416,1
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825484_wo_cover_page-2.pdf,1940,JPE,1.0,1825484,2
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825484_wo_cover_page-4.pdf,1940,JPE,1.0,1825484,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906882_wo_cover_page-5.pdf',1940,ECTA,1.0,1906882,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906882_wo_cover_page-6.pdf',1940,ECTA,1.0,1906882,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909102_wo_cover_page-1.pdf',1940,ECTA,2.0,1909102,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909102_wo_cover_page-2.pdf',1940,ECTA,2.0,1909102,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909102_wo_cover_page-6.pdf',1940,ECTA,2.0,1909102,6
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909102_wo_cover_page-7.pdf',1940,ECTA,2.0,1909102,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909102_wo_cover_page-8.pdf',1940,ECTA,1.0,1909102,8
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1805079_wo_cover_page-2.pdf',1940,AER,1.0,1805079,2
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825591_wo_cover_page-5.pdf,1940,JPE,1.0,1825591,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881668_wo_cover_page-3.pdf',1940,QJE,1.0,1881668,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881668_wo_cover_page-7.pdf',1940,QJE,1.0,1881668,7
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881668_wo_cover_page-16.pdf',1940,QJE,1.0,1881668,16
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1881668_wo_cover_page-18.pdf',1940,QJE,1.0,1881668,18
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906861_wo_cover_page-11.pdf',1940,ECTA,1.0,1906861,11
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906861_wo_cover_page-14.pdf',1940,ECTA,1.0,1906861,14
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807056_wo_cover_page-4.pdf',1940,AER,1.0,1807056,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906863_wo_cover_page-2.pdf',1940,ECTA,1.0,1906863,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906863_wo_cover_page-4.pdf',1940,ECTA,1.0,1906863,4
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807059_wo_cover_page-0.pdf',1940,AER,1.0,1807059,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909103_wo_cover_page-3.pdf',1940,ECTA,1.0,1909103,3
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824381_wo_cover_page-1.pdf,1940,JPE,1.0,1824381,1
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1824381_wo_cover_page-2.pdf,1940,JPE,1.0,1824381,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807062_wo_cover_page-1.pdf',1940,AER,1.0,1807062,1
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825510_wo_cover_page-9.pdf,1940,JPE,1.0,1825510,9
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825510_wo_cover_page-10.pdf,1940,JPE,1.0,1825510,10
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825510_wo_cover_page-11.pdf,1940,JPE,1.0,1825510,11
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825510_wo_cover_page-12.pdf,1940,JPE,1.0,1825510,12
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825510_wo_cover_page-13.pdf,1940,JPE,1.0,1825510,13
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1805067_wo_cover_page-3.pdf',1940,AER,1.0,1805067,3
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825482_wo_cover_page-7.pdf,1940,JPE,2.0,1825482,7
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825482_wo_cover_page-10.pdf,1940,JPE,2.0,1825482,10
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1807640_wo_cover_page-10.pdf',1940,AER,2.0,1807640,10
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825482_wo_cover_page-11.pdf,1940,JPE,1.0,1825482,11
https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/JPE_shards/1825482_wo_cover_page-14.pdf,1940,JPE,2.0,1825482,14
