pdf_url,year,journal,Answer,id,page,footnote,references1,references2,appendix,equations,tables,figures
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-0.pdf',1976,QJE,1,1886043,0,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-1.pdf',1976,QJE,1,1886043,1,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-2.pdf',1976,QJE,1,1886043,2,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-3.pdf',1976,QJE,1t,1886043,3,1,0,0,0,0,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-4.pdf',1976,QJE,1,1886043,4,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-5.pdf',1976,QJE,1,1886043,5,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-6.pdf',1976,QJE,1,1886043,6,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-7.pdf',1976,QJE,t1,1886043,7,1,0,0,0,0,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-8.pdf',1976,QJE,1,1886043,8,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-9.pdf',1976,QJE,1,1886043,9,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/QJE_shards/1886043_wo_cover_page-10.pdf',1976,QJE,1,1886043,10,1,0,0,0,0,0,0
