pdf_url,year,journal,Answer,id,page,footnote,references1,references2,appendix,equations,tables,figures
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-0.pdf',1960,American Economic Review,0,1815035,0,0,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-1.pdf',1960,American Economic Review,1,1815035,1,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-2.pdf',1960,American Economic Review,1,1815035,2,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-3.pdf',1960,American Economic Review,1,1815035,3,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-4.pdf',1960,American Economic Review,1,1815035,4,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-5.pdf',1960,American Economic Review,1,1815035,5,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-6.pdf',1960,American Economic Review,1,1815035,6,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-7.pdf',1960,American Economic Review,1,1815035,7,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-8.pdf',1960,American Economic Review,1,1815035,8,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-9.pdf',1960,American Economic Review,0,1815035,9,0,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/AER_shards/1815035_wo_cover_page-10.pdf',1960,American Economic Review,0,1815035,10,0,0,0,0,0,0,0
