pdf_url,year,journal,Answer,id,page,footnote,references1,references2,appendix,equations,tables,figures
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-0.pdf',1963,ECONOMETRICA,1,1909981,0,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-1.pdf',1963,ECONOMETRICA,1e,1909981,1,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-2.pdf',1963,ECONOMETRICA,1e,1909981,2,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-3.pdf',1963,ECONOMETRICA,1e,1909981,3,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-4.pdf',1963,ECONOMETRICA,1e,1909981,4,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-5.pdf',1963,ECONOMETRICA,1e,1909981,5,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-6.pdf',1963,ECONOMETRICA,e,1909981,6,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-7.pdf',1963,ECONOMETRICA,1ef,1909981,7,1,0,0,0,1,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-8.pdf',1963,ECONOMETRICA,1e,1909981,8,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-9.pdf',1963,ECONOMETRICA,1e,1909981,9,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-10.pdf',1963,ECONOMETRICA,ef,1909981,10,0,0,0,0,1,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-11.pdf',1963,ECONOMETRICA,1e,1909981,11,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-12.pdf',1963,ECONOMETRICA,1ef,1909981,12,1,0,0,0,1,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-13.pdf',1963,ECONOMETRICA,e,1909981,13,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-14.pdf',1963,ECONOMETRICA,ef,1909981,14,0,0,0,0,1,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-15.pdf',1963,ECONOMETRICA,1ef,1909981,15,1,0,0,0,1,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909981_wo_cover_page-16.pdf',1963,ECONOMETRICA,ef,1909981,16,0,0,0,0,1,0,1
