pdf_url,year,journal,Answer,id,page,footnote,references1,references2,appendix,equations,tables,figures
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-0.pdf',1971,Review of Economic Studies,1,2296685,0,1,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-1.pdf',1971,Review of Economic Studies,e,2296685,1,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-2.pdf',1971,Review of Economic Studies,e,2296685,2,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-3.pdf',1971,Review of Economic Studies,e,2296685,3,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-4.pdf',1971,Review of Economic Studies,e,2296685,4,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-5.pdf',1971,Review of Economic Studies,e,2296685,5,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-6.pdf',1971,Review of Economic Studies,e1,2296685,6,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-7.pdf',1971,Review of Economic Studies,e,2296685,7,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-8.pdf',1971,Review of Economic Studies,e,2296685,8,0,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-9.pdf',1971,Review of Economic Studies,1e,2296685,9,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-10.pdf',1971,Review of Economic Studies,1e,2296685,10,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-11.pdf',1971,Review of Economic Studies,1e,2296685,11,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-12.pdf',1971,Review of Economic Studies,1e,2296685,12,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-13.pdf',1971,Review of Economic Studies,1e,2296685,13,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-14.pdf',1971,Review of Economic Studies,er,2296685,14,0,0,1,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296685_wo_cover_page-15.pdf',1971,Review of Economic Studies,r,2296685,15,0,0,1,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296686_wo_cover_page-0.pdf',1971,Review of Economic Studies,e1,2296686,0,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296686_wo_cover_page-1.pdf',1971,Review of Economic Studies,e1,2296686,1,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296686_wo_cover_page-2.pdf',1971,Review of Economic Studies,e1,2296686,2,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296686_wo_cover_page-3.pdf',1971,Review of Economic Studies,e1,2296686,3,1,0,0,0,1,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/RES_shards/2296686_wo_cover_page-4.pdf',1971,Review of Economic Studies,e1,2296686,4,1,0,0,0,1,0,0
