pdf_url,year,journal,Answer,ID,page,Eq_count,Equal_count,Equiv_count,g_count,l_count
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907361_wo_cover_page-17.pdf',1954,ECONOMETRICA,te1,1907361,17,3,0,0,2,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907383_wo_cover_page-1.pdf',1958,ECONOMETRICA,0,1907383,1,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907022_wo_cover_page-10.pdf',1942,ECONOMETRICA,e1,1907022,10,14,8,0,5,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909467_wo_cover_page-17.pdf',1959,ECONOMETRICA,t,1909467,17,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909291_wo_cover_page-8.pdf',1961,ECONOMETRICA,e,1909291,8,6,6,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905482_wo_cover_page-3.pdf',1947,ECONOMETRICA,e1,1905482,3,3,0,3,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907437_wo_cover_page-3.pdf',1954,ECONOMETRICA,e,1907437,3,4,4,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911801_wo_cover_page-7.pdf',1961,ECONOMETRICA,e,1911801,7,8,8,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907278_wo_cover_page-6.pdf',1948,ECONOMETRICA,e,1907278,6,1,0,0,0,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909442_wo_cover_page-8.pdf',1959,ECONOMETRICA,te,1909442,8,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1906813_wo_cover_page-3.pdf',1951,ECONOMETRICA,fe,1906813,3,10,11,0,3,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907010_wo_cover_page-4.pdf',1945,ECONOMETRICA,e1,1907010,4,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909286_wo_cover_page-0.pdf',1961,ECONOMETRICA,1,1909286,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907570_wo_cover_page-0.pdf',1960,ECONOMETRICA,1e,1907570,0,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909469_wo_cover_page-13.pdf',1959,ECONOMETRICA,e1,1909469,13,2,0,2,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1909469_wo_cover_page-30.pdf',1959,ECONOMETRICA,3,1909469,30,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907514_wo_cover_page-7.pdf',1958,ECONOMETRICA,1,1907514,7,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1911285_wo_cover_page-3.pdf',1962,ECONOMETRICA,0,1911285,3,0,0,0,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1905468_wo_cover_page-1.pdf',1942,ECONOMETRICA,e1,1905468,1,8,2,0,4,2
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_shards/1907644_wo_cover_page-1.pdf',1952,ECONOMETRICA,e,1907644,1,12,12,0,1,4
