pdf_url,year,num_pages,title,journal,authors,vol,issue,ID,fg_count,tb_count
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40928467_wo_cover.pdf',2010,32,PREFERENCES FOR ONE-SHOT RESOLUTION OF UNCERTAINTY AND ALLAIS-TYPE BEHAVIOR,Econometrica,David Dillenberger,78,6,40928467,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598926_wo_cover.pdf',2006,46,GMM with Many Moment Conditions,Econometrica,Chirok Han and Peter C. B. Phillips,74,1,3598926,2,3
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598887_wo_cover.pdf',2005,20,On the Discrete Version of the Aumann-Shapley Cost-Sharing Method,Econometrica,Yves Sprumont,73,5,3598887,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40056483_wo_cover.pdf',2008,35,Fisher's Information for Discretely Sampled Lévy Processes,Econometrica,Yacine Aït-Sahalia and Jean Jacod,76,4,40056483,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3082052_wo_cover.pdf',2003,7,The Influence of VAR Dimensions on Estimator Biases: Comment,Econometrica,Jurgen A. Doornik; Bent Nielsen and Thomas J. Rothenberg,71,1,3082052,1,1
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598780_wo_cover.pdf',2004,21,On the Existence of Pure Strategy Monotone Equilibria in Asymmetric First-Price Auctions,Econometrica,Philip J. Reny and Shmuel Zamir,72,4,3598780,2,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/1555508_wo_cover.pdf',2003,47,Estimation of a Dynamic Auction Game,Econometrica,Mireia Jofre-Bonet and Martin Pesendorfer,71,5,1555508,4,5
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/40664483_wo_cover.pdf',2010,36,SORTING AND DECENTRALIZED PRICE COMPETITION,Econometrica,Jan Eeckhout and Philipp Kircher,78,2,40664483,1,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/3598850_wo_cover.pdf',2004,16,Precautionary Bidding in Auctions,Econometrica,Péter Eső and Lucy White,72,1,3598850,0,0
'https://myawsbucket-1231.s3.eu-west-3.amazonaws.com/ECTA_wo_cover/4123115_wo_cover.pdf',2007,6,Contagion Equilibria in a Monetary Model,Econometrica,Charalambos D. Aliprantis; Gabriele Camera and Daniela Puzzello,75,1,4123115,0,0
